content,SENTIMEN
"['super', 'the', 'best', 'banget', 'dan', 'puas', 'belanja', 'di', 'shoppe']",positif
"['senang', 'berbelanja', 'di', 'shoope', 'tingkatkan', 'terus', 'pelayanannya']",positif
"['allahu', 'akbar', 'semoga', 'saya', 'dapat', 'mobil']",positif
"['sangat', 'bagus', 'untuk', 'semuanya']",positif
"['sangat', 'lemot']",negatif
"['nice', 'job']",positif
['jos'],positif
['josmantab'],positif
"['aplikasi', 'shopee', 'sangat', 'bermanfaat', 'sekali']",positif
"['belanja', 'jadi', 'lebih', 'mudahdari', 'jauh', 'bisa', 'memberi', 'hadiah', 'buat', 'keluarga']",positif
"['ui', 'serves', 'ampas']",negatif
"['shopee', 'mendukung', 'penjual-penjual', 'penipu', 'yg', 'sangat', 'merugikan', 'pembeli']",negatif
"['good', 'job']",positif
"['tingkat', 'keamanan', 'menyulitkan', 'pengguna', 'karna', 'kita', 'tidak', 'bisa', 'melakukan', 'transaksi', 'diakun', 'kita', 'sendiri', 'jika', 'terdeteksi', 'baru', 'login', 'diperangkat', 'baru', 'padahal', 'saya', 'sendiri', 'pemilik', 'akun', 'tsb', 'hanya', 'karna', 'saya', 'mereset', 'hp', 'saya', 'lalu', 'saya', 'tidak', 'bisa', 'melakukan', 'transaksi']",negatif
['trh'],negatif
"['sangat', 'membantu', 'buat', 'para', 'pejuang', 'rupiah']",positif
"['sangat', 'bermanfaat', 'bagi', 'yang', 'memerlukan', 'pembelian', 'yang', 'sulit', 'dicari', 'di', 'kota', 'dekat']",positif
['bagus'],positif
"['bagi', 'kan', 'saya', 'banyak', 'koin']",positif
"['shopping', 'jadi', 'mudah', 'di', 'shopee']",positif
"['aplikasi', 'paling', 'jelek', 'sekali', 'ini', 'shope', 'jelek', 'lemot']",negatif
['cakep'],positif
"['shopy', 'pntk']",negatif
"['sangat', 'membantu']",positif
['suka'],positif
"['shopee', 'adalah', 'marketplace', 'yang', 'paling', 'lemot', 'dan', 'ngebug', 'parah', 'sedunia', 'orang', 'klik', 'apa', 'dianya', 'keluar', 'apa', 'parah', 'mau', 'bayar', 'pake', 'shopee', 'pay', 'loadingnya', 'mau', 'nunggu', 'abad', 'aplikasi', 'paling', 'lemot', 'lemot', 'lemot', 'dr', 'pada', 'yg', 'lain', 'bye']",negatif
"['lalod', 'aplikasinya']",negatif
"['lola', 'mo', 'pembayaran', 'muter', 'mulu']",negatif
